[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    174. exchange: NFO, tradingsymbol: NIFTY03NOV2622450PE, symboltoken: 53681
    175. exchange: NFO, tradingsymbol: NIFTY03NOV2622500CE, symboltoken: 53682
    176. exchange: NFO, tradingsymbol: NIFTY03NOV2622500PE, symboltoken: 53701
    177. exchange: NFO, tradingsymbol: NIFTY03NOV2622550CE, symboltoken: 53702
    178. exchange: NFO, tradingsymbol: NIFTY03NOV2622550PE, symboltoken: 53719
    179. exchange: NFO, tradingsymbol: NIFTY03NOV2622600CE, symboltoken: 53720
    180. exchange: NFO, tradingsymbol: NIFTY03NOV2622650CE, symboltoken: 53750
    181. exchange: NFO, tradingsymbol: NIFTY03NOV2622650PE, symboltoken: 53781
    182. exchange: NFO, tradingsymbol: NIFTY03NOV2622700CE, symboltoken: 53782
    183. exchange: NFO, tradingsymbol: NIFTY03NOV2622700PE, symboltoken: 53791
    184. exchange: NFO, tradingsymbol: NIFTY03NOV2622750CE, symboltoken: 53792
    185. exchange: NFO, tradingsymbol: NIFTY03NOV2622750PE, symboltoken: 53793
    186. exchange: NFO, tradingsymbol: NIFTY03NOV2622800CE, symboltoken: 53794
    187. exchange: NFO, tradingsymbol: NIFTY03NOV2622800PE, symboltoken: 53795
    188. exchange: NFO, tradingsymbol: NIFTY03NOV2622850CE, symboltoken: 53796
    189. exchange: NFO, tradingsymbol: NIFTY03NOV2622850PE, symboltoken: 53835
    190. exchange: NFO, tradingsymbol: NIFTY03NOV2622900PE, symboltoken: 53859
    191. exchange: NFO, tradingsymbol: NIFTY03NOV2622950CE, symboltoken: 53860
    192. exchange: NFO, tradingsymbol: NIFTY03NOV2622950PE, symboltoken: 53871
    193. exchange: NFO, tradingsymbol: NIFTY03NOV2623000CE, symboltoken: 53872
    194. exchange: NFO, tradingsymbol: NIFTY03NOV2623000PE, symboltoken: 53923
    195. exchange: NFO, tradingsymbol: NIFTY03NOV2623050CE, symboltoken: 53924
    196. exchange: NFO, tradingsymbol: NIFTY03NOV2623050PE, symboltoken: 53925
    197. exchange: NFO, tradingsymbol: NIFTY03NOV2623100CE, symboltoken: 53926
    198. exchange: NFO, tradingsymbol: NIFTY03NOV2623100PE, symboltoken: 53927
    199. exchange: NFO, tradingsymbol: NIFTY03NOV2623150CE, symboltoken: 53928
    200. exchange: NFO, tradingsymbol: NIFTY03NOV2623150PE, symboltoken: 53929
    201. exchange: NFO, tradingsymbol: NIFTY03NOV2623200CE, symboltoken: 53930
    202. exchange: NFO, tradingsymbol: NIFTY03NOV2623200PE, symboltoken: 53931
    203. exchange: NFO, tradingsymbol: NIFTY03NOV2623250CE, symboltoken: 53932
    204. exchange: NFO, tradingsymbol: NIFTY03NOV2623250PE, symboltoken: 53939
    205. exchange: NFO, tradingsymbol: NIFTY03NOV2623300CE, symboltoken: 53940
    206. exchange: NFO, tradingsymbol: NIFTY03NOV2623300PE, symboltoken: 53941
    207. exchange: NFO, tradingsymbol: NIFTY03NOV2623350CE, symboltoken: 53942
    208. exchange: NFO, tradingsymbol: NIFTY03NOV2623350PE, symboltoken: 54045
    209. exchange: NFO, tradingsymbol: NIFTY03NOV2623400CE, symboltoken: 54046
    210. exchange: NFO, tradingsymbol: NIFTY03NOV2623400PE, symboltoken: 54049
    211. exchange: NFO, tradingsymbol: NIFTY03NOV2623450CE, symboltoken: 54050
    212. exchange: NFO, tradingsymbol: NIFTY03NOV2623450PE, symboltoken: 54051
    213. exchange: NFO, tradingsymbol: NIFTY03NOV2623500CE, symboltoken: 54052
    214. exchange: NFO, tradingsymbol: NIFTY03NOV2623500PE, symboltoken: 54055
    215. exchange: NFO, tradingsymbol: NIFTY03NOV2623550CE, symboltoken: 54056
    216. exchange: NFO, tradingsymbol: NIFTY03NOV2623550PE, symboltoken: 54061
    217. exchange: NFO, tradingsymbol: NIFTY03NOV2623600CE, symboltoken: 54062
    218. exchange: NFO, tradingsymbol: NIFTY03NOV2623600PE, symboltoken: 54065
    219. exchange: NFO, tradingsymbol: NIFTY03NOV2623650CE, symboltoken: 54066
    220. exchange: NFO, tradingsymbol: NIFTY03NOV2623650PE, symboltoken: 54097
    221. exchange: NFO, tradingsymbol: NIFTY03NOV2623700CE, symboltoken: 54098
    222. exchange: NFO, tradingsymbol: NIFTY03NOV2623700PE, symboltoken: 54099
    223. exchange: NFO, tradingsymbol: NIFTY03NOV2623750CE, symboltoken: 54100
    224. exchange: NFO, tradingsymbol: NIFTY03NOV2623750PE, symboltoken: 54101
    225. exchange: NFO, tradingsymbol: NIFTY03NOV2623800CE, symboltoken: 54102
    226. exchange: NFO, tradingsymbol: NIFTY03NOV2623800PE, symboltoken: 54103
    227. exchange: NFO, tradingsymbol: NIFTY03NOV2623850CE, symboltoken: 54104
    228. exchange: NFO, tradingsymbol: NIFTY03NOV2623850PE, symboltoken: 54105
    229. exchange: NFO, tradingsymbol: NIFTY03NOV2623900CE, symboltoken: 54106
    230. exchange: NFO, tradingsymbol: NIFTY03NOV2623900PE, symboltoken: 54107
    231. exchange: NFO, tradingsymbol: NIFTY03NOV2623950CE, symboltoken: 54108
    232. exchange: NFO, tradingsymbol: NIFTY03NOV2623950PE, symboltoken: 54109
    233. exchange: NFO, tradingsymbol: NIFTY03NOV2624000CE, symboltoken: 54110
